Label,processed msg
ham,lt gt fast approaching wish u happy new year happy sankranti happy republic day happy valentines day happy shivratri happy ugadi happy fools day happy may day happy independence day happy friendship mother father teachers childrens day amp happy birthday 4 happy ganesh festival happy dasara happy diwali happy christmas lt gt good mornings afternoons evenings nights rememberi first wishing u raj
ham,make baby yo tho
ham,damn make tonight want wait til tomorrow
ham,hey told name gautham ah
ham,asked anthony dad bf
ham,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wo go badly cheers
ham,didnt get ur full msg sometext missing send
ham,dun thk quit yet hmmm go jazz yogasana oso go meet em lessons den
ham,know lacking particular dramastorm details part worried
ham,said u mind go bedroom minute ok sed sexy mood came 5 minuts latr wid cake n wife
ham,otherwise part time job
spam,hi sue 20 years old work lapdancer love sex text live bedroom text sue textoperator g2 1da 150ppmsg
ham,cause freaky lol
spam,sports fans get latest sports news str 2 ur mobile 1 wk free plus free tone txt sport 8007 norm
ham,take exam march 3
ham,cant pick phone right pls send message
ham,lt gt great loxahatchee xmas tree burning update totally see stars
ham,show wot say could u c 4 dust
ham,rude campus
ham,late
spam,hi sexychat girls waiting text text great night chatting send stop stop service
ham,pls go ahead watts wanted sure great weekend abiola
ham,u workin overtime nigpun
ham,naughty little thought better flirt flirt n flirt rather loving someone n gettin hurt hurt n hurt gud nyt
ham,dad went oredi
ham,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via
ham,package programs well
ham,swt thought nver get tired little things 4 lovable persons coz somtimes little things occupy biggest part hearts gud ni8
ham,oh k placement ah
ham,play w computer aiyah tok 2 u lor
ham,tell pain de
spam,urgent mobile number bonus caller prize 2nd attempt reach call 09066368753 asap box 97n7qp 150ppm
ham,made payments dont much sorry would want fedex way
spam,reminder o2 get pounds free call credit details great offers pls reply 2 text valid name house postcode
ham,reached sch already
ham,yeah go bed back midnight
ham,supposed meet discuss abt trip thought xuhui told afternoon thought go lesson
ham,good morning repair shop reason hour
ham,good morning dear shijutta great amp successful day
ham,gon na go get tacos
ham,purity friendship two smiling reading forwarded message smiling seeing name gud evng
spam,would like see xxx pics hot nearly banned uk
ham,r outside already
ham,ha ha cool cool chikku chikku
ham,whatever juliana whatever want
ham,got rumour going buy apartment chennai
spam,dating service asked 2 contact u someone shy call 09058091870 revealed pobox84 m26 3uz 150p
ham,told accenture confirm true
ham,haha dont angry take practice real thing
ham,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning
ham,amazing rearrange letters gives meaning dormitory dirty room astronomer moon starer eyes see election results lies lets recount woman hitler eleven plus two plus one amazing
ham,oh thanks lot already bought 2 eggs
ham,said look pretty wif long hair wat thk cutting quite short 4 leh
ham,probably want pick
ham,wont wat wit guys
ham,wan early lei outside wun b home early neva mind
ham,got ten bucks jay noncomittal
ham,hi moved in2 pub would great 2 c u u cud come
ham,thank say happy onam fine remembered met insurance qatar insha ex tata aig joined tissco tayseer
ham,wiskey brandy rum gin beer vodka scotch shampain wine kudi yarasu dhina vaazhthukkal
ham,late
ham,entered cabin pa said happy boss felt special askd 4 lunch lunch invited apartment went
ham,hello little party animal thought buzz friends grins reminding loved send naughty adoring kiss
ham,yes please swimming
ham,train back northampton afraid
ham,happy new year u
ham,hi dis yijue would happy work wif ü gek1510
ham,ball moving spin last difficult bat
ham,movie collect car oredi
ham,busy come point figure tomorrow
ham,orh tot u say still dun believe
ham,said u mind go bedroom minute ok sed sexy mood came 5 minuts latr wid cake n wife
ham,best watch say cause get drunk motherfucker
ham,get free call
ham,reckon need town eightish walk carpark
ham,detroit home snow enjoy
ham,right meanwhile project twins comin
ham,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already
spam,winner valued network customer selected receivea prize reward claim call claim code kl341 valid 12 hours
ham,bus love
ham,need drug anymore
ham,clothes jewelry trips
ham,yes dont care need bad princess
ham,also hi wesley
ham,tonight mate catching sleep new number way
ham,tuesday night r u 4 real
ham,toshiba portege m100 gd
ham,awesome think get 8th usf time tonight
ham,lt gt pple marry lovers becz hav gud undrstndng dat avoids problems sent dis 2 u u wil get gud news friday person like tomorrow best day life dont break chain break suffer send lt gt frnds lt gt mins whn u read
ham,r ü going 4 today meeting
ham,umma life vava umma love lot dear
ham,tell friends plan valentines day lt url gt
ham,project come
ham,call u done
ham,u studying sch going home anyway b going 2 sch later
ham,ha ha ha good joke girls situation seekers
ham,alright took morphine back yo
ham,way going back
ham,think mentor 100 percent sure
ham,watching surya movie 6 pm vijay movie pokkiri
ham,drama enough family struggling hot sun strange reason ego going invited actually necessity serious reppurcussions
ham,really tot ur paper ended long ago wat u copied jus got use u happy lar still haf 2 study
ham,customer place call
ham,k u bored come home
ham,g wants know fuck
ham,thanx 4 2day u r goodmate think ur rite sary asusual 1 u cheered love u franyxxxxx
ham,nice day today love dearly
ham,tell shola please go college medicine visit academic department tell academic secretary current situation ask transfer ask someone check sagamu thing lautech vital completes medical education nigeria less expensive much less expensive unless getting citizen rates new zealand
ham,check got detailed message
ham,might come kerala 2 prepared take leave finalise plan travel finish urgent works
ham,way ur home
ham,wat time u wan 2 meet later
ham,yeah leave couple minutes amp let know get mu
ham,gud mrng dear hav nice day
ham,jus ans lar u noe later
ham,tirupur call da
ham,hello news job making wait fifth week yeah im woozles weasels exeter still home 3
spam,mila age23 blonde new uk look sex uk guys u like fun text mtalk 1st 5free increments help08718728876
ham,hi keen go kind feel go tomo mind
spam,kit strip billed 150p netcollex po box 1013 ig11 oja
ham,hi dear saw dear happy battery low
ham,absolutely love south park recently started watching office
ham,ok omw castor
ham,office whats matter msg call break
ham,ok
ham,point hangin mr right makin u happy
ham,greatest test courage earth bear defeat without losing heart gn tc
ham,lol always convincing
ham,cooked rather nice salmon la
ham,means fat head
ham,hey dont go watch x men lunch haha
ham,thinking going reg pract lessons flung advance haha wat time u going
spam,hot live fantasies call 08707500020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate call
ham,still grinder
spam,urgent mobile awarded bonus caller prize final try contact u call landline 09064019788 box42wr29c 150ppm
ham,wat da model num ur phone
spam,customer service announcement recently tried make delivery unable please call 07099833605
ham,oh yes speak txt 2 u hmm u get email
ham,v skint fancied gona go meet othrs spoon jst bin watchng planet earth sofa v comfey dont make hav gd night
ham,rats hey u ever vote next themes
ham,wanted ask ü wait 4 finish lect cos lect finishes hour anyway
ham,usually take fifteen fucking minutes respond yes question
spam,private 2003 account statement 07808 xxxxxx shows 800 points call 08719899217 identifier code 41685 expires
ham,pls speak wont ask anything friendship
spam,free top ringtone weekly 1st week subpoly 3 per
ham,already got flaky parent supposed child job support parent ride age anyway supposed support hurt unintentional hurt nonetheless
ham,dunno wat get 4
ham,home always chat
spam,2nd time tried contact u prize 2 claim easy call 087104711148 10p per minute
ham,found way get another app phone eh go net cafe take job geeee need babe crave see
ham,seems unnecessarily hostile
ham,need come home give good lovin
ham,eatin lor goin back work soon e mountain deer show huh watch b4 liao nice
ham,k sure relatives home sms de pls
ham,sweet heart
ham,hello boytoy geeee miss already woke wish bed cuddling love
ham,maybe westshore hyde park village place near house
ham,nice new shirts thing wear nudist themed mu
ham,started skye
ham,could seen recognise face
spam,8007 25p 4 alfie moon children need song ur mob tell ur m8s txt tone charity 8007 nokias poly charity polys zed 08701417012 profit 2 charity
spam,hello need posh birds chaps user trial prods champneys put need address dob asap ta r
spam,urgent please call 09061213237 landline cash 4 holiday await collection cs sae po box 177 m227xy
ham,wait till 2 bus pick
ham,call check life begin qatar pls pray hard
ham,ask abt e movie u wan ktv oso
ham,aiyah u ok already lar e nydc wheellock
ham,yun buying school got offer 2000 plus
spam,ur hmv quiz currently maximize ur send hmv1 86688
spam,u nokia 6230 plus free digital camera u get u win free auction take part send nokia 83383 16
ham,dear friends sorry late information today birthday loving details log face book see number lt gt dont miss delicious treat
ham,aight wat happening side
ham,save stress person dorm account send account details money sent
ham,know dat feelin pete wuld get em nuther place nuther time mayb
ham,confirm eating esplanade
ham,anything lor toa payoh got place 2 walk meh
ham,life means lot love life love people life world calls friends call world ge
spam,hot live fantasies call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate call
spam,link picture sent also use http
ham,hey free call
ham,head straight
ham,hi da todays class
spam,thanks ringtone order ref number r836 mobile charged tone arrive please call customer services 09065069154
ham,yeah basically time next week get away mom amp get 3
spam,07732584351 rodger burns msg tried call reply sms free nokia mobile free camcorder please call 08000930705 delivery tomorrow
ham,ca right second got ta hit people first
ham,shall call dear food
spam,final chance claim ur worth discount vouchers today text yes 85023 savamob member offers mobile cs savamob pobox84 m263uz subs 16
spam,free msg billed mobile number mistake shortcode call 08081263000 charges call free bt landline
ham,sorry mates phone didnt write love kate
ham,issues right ill fix tomorrow
ham,cos darren say ü considering mah ask ü
ham,ok great thanx lot
spam,want new nokia 3510i colour phone deliveredtomorrow 300 free minutes mobile 100 free texts free camcorder reply call 08000930705
ham,haha first person gon na ask
ham,2marrow wed lt gt 2 aha
ham,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
ham,yes reg ciao
ham,place talk explain
ham,hello sort town already dont rush home eating nachos let know eta
ham,know dad back
ham,aiyar dun disturb u liao thk u lots 2 aft ur cupboard come
ham,thinking chuckin ur red green n black trainners 2 save carryin bac train
ham,happy valentines day advance
ham,parked next mini coming today think
ham,yo around got car back
spam,hello orange 1 month free access games news sport plus 10 free texts 20 photo messages reply yes terms apply
ham,slaaaaave must summon time wish come anymore
ham,sorry going home first daddy come fetch ü later
ham,sent like
ham,thanx 4 puttin da fone
ham,entered cabin pa said happy boss felt special askd 4 lunch lunch invited apartment went
ham,bring got
ham,weekend fine excuse much decorating
ham,message truro hospital ext phone phone side
ham,great hear settling well happenin wit ola
ham,anyone calls treadmill say buy make sure working found ad craigslist selling lt gt
ham,neshanth tel r u
ham,true easier
ham,howz persons story
ham,sorry call later
spam,18 days euro2004 kickoff u kept informed latest news results daily unsubscribe send get euro stop 83222
ham,tension ah machi problem
ham,k might come tonight class lets early
ham,hard believe things like say lie think twice saying anything
spam,urgent ur awarded complimentary trip eurodisinc trav aco entry41 claim txt dis 87121 morefrmmob shracomorsglsuplt 10 ls1 3aj
ham,career tel added u contact send free sms remove phonebook sms lt gt
ham,good night dear sleepwell amp take care
ham,meet corporation st outside gap see mind working
spam,5 free top polyphonic tones call 087018728737 national rate get toppoly tune sent every week text subpoly 81618 per pole unsub 08718727870
ham,yes baby need stretch open pussy
ham,uncles atlanta wish guys great semester
spam,congratulations ur awarded either yrs supply cds virgin records mystery gift guaranteed call 09061104283 ts cs approx 3mins
ham,check audrey status right
spam,ur chance win cash every wk txt action c custcare 08712405022
ham,hey happen de alright
spam,u bin awarded play 4 instant cash call 08715203028 claim every 9th player wins min optout 08718727870
ham,noe la u wana pei bf oso rite k lor days den
spam,please call customer service representative 0800 169 6031 guaranteed cash prize
ham,office call lt gt min
ham,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo
ham,alex knows guy sells mids south tampa think could set like 8
ham,7 wonders world 7th 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms 1st ur lovely friendship good morning dear
ham,fetch yun u fetch
ham,badrith chennai surely pick us competition
ham,joined today
ham,tessy pls favor pls convey birthday wishes nimya pls dnt forget today birthday shijas
ham,call plz number shows coveragd area urgnt call vasai amp reach 4 clock call plz
ham,sign maturity start saying big things actually start understanding small things nice evening bslvyl
ham,go n buy juz buy get lar
ham,ok msg u b4 leave house
ham,happened yo date
ham,waqt se pehle naseeb se zyada kisi ko kuch nahi milta zindgi wo nahi jo hum sochte hai zindgi wo hai jo ham jeetey hai
ham,ok gon na head usf like fifteen minutes
ham,new deus ex game comin early next yr
ham,think still car
ham,someone smoke every time smoked last two weeks calling texting wanted smoke
ham,waiting call
ham,got fujitsu ibm hp toshiba got lot model say
ham,operate lt gt
ham,remember day
ham,k 2marrow coming class
ham,take care sleep need learn change need get convinced wait conversations convinced family many u role life
ham,nothing getting msgs dis name wit different
ham,type stuff sing
ham,k still loving
ham,nope meanwhile talk say make greet
ham,diet ate 1 many slices pizza yesterday ugh always diet
ham,hey leave big deal take care
ham,probably tomorrow even later tonight something going
ham,yeah imma come cause jay wants drugs
ham,really need shit tomorrow know wo awake like 6
ham,hi neva worry bout da truth coz truth lead 2 ur heart least unique person like u deserve sleep tight morning
ham,even friend priest call
ham,okay lor wah like def wont let us go haha say terms conditions
spam,thank winner notified sms good luck future marketing reply stop 84122 customer services 08450542832
spam,congratulations week competition draw u prize claim call 09050002311 b4280703 sms 18 150ppm
ham,hi missed call mumhas beendropping red wine theplace adress
spam,mobile 10 mths update latest orange phones free save free calls text yes callback orno opt
ham,yar wanted 2 scold u yest late already got zhong se qing u ask b4 ask go w u lor n u still act real
ham,hey chief give bell get need talk royal visit 1st june
ham,jay wants work first 4 sound
ham,thanks love torch bold
ham,good evening sir al salam happy grace god got offer tayseer tissco allah meet visitor india
ham,love excited day spend make happy
ham,ok
ham,da birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wishes
ham,ok wont call disturb one know avoiding burden
ham,u ever get song stuck head reason wo go away til u listen like 5 times
spam,new textbuddy chat 2 horny guys ur area 4 25p free 2 receive search postcode txt one name 89693
ham,cramps stopped going back sleep
ham,ok would b lovely u r sure think wot u want drinkin dancin eatin cinema u wot
ham,sorry de went shop
ham,aight still want get money
ham,dunno lei might b eatin wif frens ü wan eat wait 4 ü lar
spam,ur chance win cash every wk txt play c custcare 08715705022
ham,sian aft meeting supervisor got work 2 liao u working
ham,think asking gym excuse lazy people jog
ham,hi spoke maneesha like know satisfied experience reply toll free yes
ham,u talking bout early morning almost noon
ham,hey looks like wrong one kappa guys numbers still phone want text see around
ham,also sorta blown couple times recently id rather text blue looking weed
ham,mum going robinson already
ham,draw va dont think
ham,family happiness
ham,hi roger cl
ham,yet chikku going room nw bus
ham,room need
ham,k yan jiu liao sat go 4 bugis vill one frm 10 3 den hop parco 4 nb sun go cine frm 1030 2 den hop orc mrt 4 hip hop 4
ham,liked new house
ham,k k sms chat
ham,also piece
ham,dear hero leaving qatar tonite apt keep touch lt email gt kerala
ham,lag sad part keep touch thanks skype
ham,send lt gt min
ham,k deleted contact
ham,hi yijue regarding 3230 textbook intro algorithms second edition selling 50
spam,congratulations ur awarded 500 cd vouchers 125gift guaranteed free entry 2 100 wkly draw txt music 87066
spam,asked 3mobile 0870 chatlines inclu free mins india cust servs sed yes l8er got mega bill 3 dont giv shit bailiff due days 3 want
ham,ü bot notes oredi cos juz rem got
ham,told number gautham
ham,call lt gt min thats ok
ham,time week ryan
ham,hey want anything buy
ham,nothing really making sure everybody speed
ham,blankets sufficient thx
ham,enjoy watching playing football basketball anything outdoors
ham,yes nigh cant aha
ham,make 3 4 fucks sake x
ham,party alex nichols
ham,performance award calculated every two current one month period
ham,thk 50 shd ok said plus minus 10 ü leave line paragraphs
ham,oh come tomorrow
spam,want latest video handset 750 anytime network mins half price line rental reply call 08000930705 delivery tomorrow
ham,anyway think secure anything lem know want drive south chill
ham,gentle baby soon taking lt gt inches deep inside tight pussy
ham,discussed mother ah
ham,ask keep one maybe get messages sent glo
ham,would really appreciate call need someone talk
ham,otherwise part time job
ham,see knew giving break times woul lead always wanting miss curfew gon na gibe one midnight movie gon na get til need come home need getsleep anything need b studdying ear training
ham,sorry took long omw
ham,get step 2 outta way congrats
ham,hiya good day spoken since weekend
ham,wat ü
ham,oh really make air talent
ham,intrepid duo great time see soon
ham,good afternoon loverboy goes day luck come way think sweetie send love across sea make smile happy
ham,forget tell want need crave love sweet arabian steed mmmmmm yummy
ham,ok lor ü reaching message
spam,freemsg today day ready horny live town love sex fun games netcollex ltd 08700621170150p per msg reply stop end
spam,congrats 2 mobile 3g videophones r call 09063458130 videochat wid mates play java games dload polyph music noline rentl
ham,hi way u 2day normal way real ur unique hope know u 4 rest mylife hope u find wot lost
ham,finish liao u
ham,escape theatre going watch kavalan minutes
ham,dunno lei like dun haf
ham,arun u transfr amt
ham,gr8 see message r u leaving congrats dear school wat r ur plans
ham,anything lor coming
spam,mila age23 blonde new uk look sex uk guys u like fun text mtalk 1st 5free increments help08718728876
ham,yeah get random dude need change info sheets party lt gt never study safe
ham,room
ham,actually send reminder today wonderful weekend
spam,chance reality fantasy show call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate call
ham,shit babe thasa bit messed shudvetold urgran know neway illspeak 2 u2moro wen im asleep
ham,apps class varaya elaya
ham,sos amount get pls
ham,erutupalam thandiyachu
ham,lmao fun
ham,u find sitter kaitlyn sick slept day yesterday
ham,yeah imagine would really gentle unlike docs treat patients like turkeys
ham,finish already yar keep saying mushy embarrassed ok
ham,ok ill send lt decimal gt ok
ham,cool like swimming pool jacuzzi house
ham,allo braved buses taken trains triumphed mean b ham jolly good rest week
ham,lost 4 pounds since doc visit last week woot woot gon na celebrate stuffing face
spam,life never much fun great came made truly special wo forget enjoy one
ham,gosh pain spose better come
ham,talk atleast day otherwise miss best friend world shesil lt gt
ham,sleeping surfing
ham,oh howda gud gud mathe en samachara chikku
ham,motivate behind every darkness shining light waiting find behind every best friend always trust love bslvyl
spam,jamster get free wallpaper text heart 88888 c apply 16 need help call 08701213186
ham,wat late still early mah juz go 4 dinner lor aiya dunno
ham,think tantrum finished yeah point
ham,queen going royal wedding
ham,fffff text kadeem far gone
ham,well right gon na get check today steam text want come get
ham,gifts trying get throw cliff something
ham,also bringing galileo dobby
ham,dont know come ask questions like dont mistake
ham,hi shanil rakhesh exchanged uncut diamond back excellent service dino prem
ham,sort code acc bank natwest reply confirm sent right person
ham,vikky come around lt time gt
ham,minor shindig place later tonight interested
ham,know wait check
ham,ü come n pick 530 ar
spam,new 2 club dont fink met yet b gr8 2 c u please leave msg 2day wiv ur area 09099726553 reply promised carlie x lkpobox177hp51fl
ham,dear call accomodate
ham,alrite hunny wot u 2 2nite didnt end goin town jus da pub instead jus chillin da mo bedroom love jen xxx
ham,got got 2 colours lor one colour quite light n e darker lor actually done styling hair
ham,came hostel going sleep plz call class hrishi
ham,645
ham,slave want take 2 3 pictures today bright light cell phone bright light
ham,ü go buy wif meet ü later
ham,hiya u paying money account thanks got pleasant surprise checked balance c get statements 4 acc
ham,running managed 5 minutes needed oxygen might resort roller option
ham,r u sure understand wine good idea slurp
ham,carlos says mu lt gt minutes
ham,yar lor actually quite fast cos da ge slow wat haha
ham,wait msg lt gt min
spam,urgent trying contact todays draw shows prize guaranteed call 09058094507 land line claim valid 12hrs
ham,r stayin extra week back next rugby weekend hi c u soon
spam,cds 4u congratulations ur awarded cd gift vouchers gift guaranteed freeentry 2 wkly draw xt music 87066 tncs
ham,got gas money chance gang want go grand nature adventure
ham,neft transaction reference number lt gt rs lt decimal gt credited beneficiary account lt gt lt time gt lt gt
ham,double eviction week spiral michael good riddance
ham,sorry call later
ham,okay wait ah
spam,12mths half price orange line rental 400mins call mobileupd8 08000839402
ham,dis yijue jus saw ur mail case huiming havent sent u num dis num
ham,see ca see maybe reboot ym seen buzz
ham,would ip address test considering computer minecraft server
ham,wiskey brandy rum gin beer vodka scotch shampain wine kudi yarasu dhina vaazhthukkal
ham,u wan 2 haf lunch da canteen
ham,yes princess want make happy
ham,sorry free
ham,staying town
spam,1 new message please call 08718738034
ham,except theres chick huge boobs
ham,know god created gap fingers one made comes amp fills gaps holding hand love
ham,meeting ü rite go home lor ü dun feel like comin ok
ham,hope good week checking
ham,u love someone dont make love u much u love much dont want loved anyone except gud nit
ham,nothing got msg frm tht unknown
ham,yep get program slacking
ham,hi darlin finish 3 u 1 2 pick meet text back number luv kate xxx
ham,sir waiting mail
ham,hate call didnt accept even single call mine even messaged
ham,pls needs dat slowly vomit
ham,hey darlin pick u college u tell wen 2 mt love pete xx
